iter	RMSE
0	0.1061113877
1	0.1058937908
2	0.1054935746
3	0.105085287
4	0.1046362699
5	0.1042801772
6	0.1038732695
7	0.1034358558
8	0.1032204489
9	0.1027668683
10	0.1024302968
11	0.1020750774
12	0.1017930675
13	0.1014534307
14	0.1010859012
15	0.1007863026
16	0.1004702146
17	0.1001504033
18	0.0998383264
19	0.09957351679
20	0.09915168619
21	0.09878822711
22	0.09835557711
23	0.09811661166
24	0.09783813556
25	0.09747001978
26	0.09716987388
27	0.09687639659
28	0.09647424849
29	0.09622963394
30	0.09589709919
31	0.09560359722
32	0.09529762461
33	0.09489413275
34	0.09465376975
35	0.09433443116
36	0.09400746846
37	0.09364542188
38	0.09324577096
39	0.09290113554
40	0.09263141499
41	0.09233333668
42	0.09211261914
43	0.09193449396
44	0.09172411884
45	0.09137892878
46	0.09107608617
47	0.09072992195
48	0.09044812034
49	0.09025531496
50	0.09004539186
51	0.08972068501
52	0.08950140474
53	0.08924238336
54	0.08899874781
55	0.08880402155
56	0.088552109
57	0.08827965748
58	0.08807506204
59	0.08773707092
60	0.08753942593
61	0.0872539198
62	0.0870143147
63	0.08677642611
64	0.08657392722
65	0.08629260524
66	0.08603915917
67	0.08583060324
68	0.08564492632
69	0.08547576099
70	0.08527584394
71	0.08502109576
72	0.08484704642
73	0.08449243599
74	0.08422804501
75	0.08395937173
76	0.08359796766
77	0.08330886542
78	0.08299766259
79	0.08268453571
80	0.08245730419
81	0.08212682099
82	0.08193882654
83	0.08169862889
84	0.08138060266
85	0.08115022895
86	0.08100421565
87	0.0807673929
88	0.08055140988
89	0.08032190242
90	0.08005951997
91	0.07979290695
92	0.07955231223
93	0.07927216193
94	0.07912273701
95	0.07892674786
96	0.07874013089
97	0.07852479142
98	0.07823656524
99	0.07809194085
100	0.07795011728
101	0.07779325474
102	0.07756126873
103	0.07725808504
104	0.07699416297
105	0.0767902404
106	0.07649710459
107	0.07620769325
108	0.07598584971
109	0.07576002115
110	0.07555956285
111	0.0753083656
112	0.07507999008
113	0.07483456081
114	0.07458980992
115	0.0743349562
116	0.07415966639
117	0.07387043711
118	0.07358789198
119	0.07340641564
120	0.07311396676
121	0.0728562393
122	0.07258044336
123	0.07232133183
124	0.07203246612
125	0.07181144072
126	0.07155234504
127	0.07128349392
128	0.07109422732
129	0.07088923076
130	0.07066163087
131	0.07040043828
132	0.07019724179
133	0.07004892311
134	0.06980924559
135	0.06958947634
136	0.0694124392
137	0.06928185599
138	0.06899737386
139	0.06883413359
140	0.06856466253
141	0.06833865014
142	0.06816844407
143	0.06800646924
144	0.06783730264
145	0.06763800126
146	0.06745201329
147	0.06725292256
148	0.06707236072
149	0.06690860071
150	0.0666652049
151	0.06653620577
152	0.06634603568
153	0.06609016315
154	0.06596196308
155	0.06571388136
156	0.06557275228
157	0.0653646811
158	0.06509225227
159	0.06495601173
160	0.06474530088
161	0.06450052296
162	0.06434011399
163	0.06414222425
164	0.06393649106
165	0.06374507431
166	0.06348866089
167	0.06328958463
168	0.06313118602
169	0.06296300693
170	0.06284936482
171	0.06259996496
172	0.06243546638
173	0.06225347682
174	0.0620471763
175	0.06180849184
176	0.06162050403
177	0.06144759138
178	0.06124512678
179	0.06102486184
180	0.06079940252
181	0.06066086956
182	0.060467423
183	0.06027948579
184	0.06006939759
185	0.05988016291
186	0.05974322119
187	0.05957441129
188	0.05937529221
189	0.05916694556
190	0.05900666942
191	0.05882527674
192	0.05869905726
193	0.05849212066
194	0.05830720083
195	0.05820275342
196	0.05805578792
197	0.05795242202
198	0.05776729376
199	0.05767022559
200	0.05752941161
201	0.05729681698
202	0.05710887885
203	0.05689983259
204	0.0567518285
205	0.0565670831
206	0.05644035822
207	0.05629861717
208	0.05610107358
209	0.05596110168
210	0.05585763139
211	0.05575378579
212	0.05554492253
213	0.05541739875
214	0.05523078095
215	0.05509437931
216	0.05497428171
217	0.0547997833
218	0.05465378861
219	0.05447970985
220	0.05433424212
221	0.05419982222
222	0.05401149747
223	0.05382561707
224	0.05363229168
225	0.05352343552
226	0.0533827941
227	0.05324089076
228	0.05305341356
229	0.05291748821
230	0.05278694597
231	0.05264160911
232	0.05249270121
233	0.0523581571
234	0.05219697185
235	0.05208709385
236	0.05191268185
237	0.05180932008
238	0.05165485557
239	0.05151407916
240	0.05131962467
241	0.05117939605
242	0.05100269588
243	0.05082006889
244	0.0506981879
245	0.05050782976
246	0.05031817889
247	0.05018366581
248	0.05004919679
249	0.04992863044
250	0.04982325788
251	0.04970429337
252	0.04959948757
253	0.04948662563
254	0.0493217817
255	0.049230573
256	0.04909671014
257	0.04893168926
258	0.04876513887
259	0.04864401016
260	0.04851079522
261	0.04838491672
262	0.04824700547
263	0.04811862136
264	0.04798951447
265	0.04783674461
266	0.04768937391
267	0.04756655811
268	0.04744355832
269	0.04735920843
270	0.04724320553
271	0.04709110196
272	0.04697625192
273	0.04686012508
274	0.04670859633
275	0.04654112651
276	0.0464224995
277	0.04629898472
278	0.04617284704
279	0.04601950561
280	0.04586618464
281	0.0457737961
282	0.04565035277
283	0.04554537416
284	0.0454244739
285	0.04532362759
286	0.04517927107
287	0.04505563381
288	0.04490411543
289	0.04475189633
290	0.04463726572
291	0.04452133801
292	0.04438504972
293	0.04430513092
294	0.04419272669
295	0.04408965791
296	0.04399142829
297	0.04383811948
298	0.04372575399
299	0.04358948168
